fault_mode,operating_state,normality_score,z_score_mean,hybrid_score,hybrid_threshold,predicted_anomaly,final_anomaly,expected_anomaly
bearing_fault,startup,-0.23631871799037873,3.958831916191614,4.195150634181993,0.9310432651296187,1,0,1
bearing_fault,startup,-0.23831567752932825,4.024597134754096,4.262912812283425,0.9310432651296187,1,0,1
bearing_fault,steady_state,-0.15810140004712137,2.1550400069247613,2.3131414069718828,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.02327744116927466,1.1785914936371313,1.201868934806406,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.027167026108073644,1.2535441062969397,1.2807111324050133,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.04050917326428016,1.2203118964283128,1.260821069692593,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.0850394745192612,1.470980491113926,1.5560199656331872,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.03843222477967667,1.2033706080589208,1.2418028328385975,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.12401910893095636,2.12599441594969,2.2500135248806465,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.13380203773424737,2.149725141340515,2.2835271790747624,0.9310432651296187,1,1,1
bearing_fault,steady_state,0.022319143284365683,1.0289231783279018,1.0066040350435361,0.9310432651296187,1,1,1
bearing_fault,steady_state,0.018259097867528218,0.9899706264463781,0.9717115285788499,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.10987835967745063,1.7656558865473846,1.8755342462248352,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.09713043497185325,1.7293964911387567,1.8265269261106098,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.1367105857553672,2.1481569943406185,2.2848675800959857,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.12779117853228028,2.1462325125566553,2.2740236910889355,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.1295008301063555,2.1038425380461576,2.233343368152513,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.1315854954378094,1.9361506221476295,2.0677361175854387,0.9310432651296187,1,1,1
bearing_fault,steady_state,0.019894381797094962,0.9959631686510991,0.9760687868540041,0.9310432651296187,1,1,1
bearing_fault,shutdown,-0.20665683238860566,3.2308993776715598,3.4375562100601655,0.9310432651296187,1,0,1
bearing_fault,shutdown,-0.20204740466845772,3.6120503395510903,3.814097744219548,0.9310432651296187,1,0,1
bearing_fault,idle,-0.2002795123789085,3.575116192786912,3.7753957051658205,0.9310432651296187,1,0,1
bearing_fault,idle,-0.1963108476338722,4.024163003034276,4.220473850668148,0.9310432651296187,1,0,1
bearing_fault,idle,-0.1963108476338722,4.012766392985656,4.209077240619528,0.9310432651296187,1,0,1
bearing_fault,idle,-0.19635973946876217,4.005001809887421,4.201361549356183,0.9310432651296187,1,0,1
bearing_fault,idle,-0.19612402549967467,3.995747344854819,4.191871370354494,0.9310432651296187,1,0,1
bearing_fault,idle,-0.19631020191372994,3.9860048471437195,4.18231504905745,0.9310432651296187,1,0,1
bearing_fault,idle,-0.1956382852146964,3.975731441372975,4.171369726587671,0.9310432651296187,1,0,1
bearing_fault,idle,-0.1960403316088113,3.9661974153554436,4.162237746964255,0.9310432651296187,1,0,1
bearing_fault,idle,-0.22480153312912343,3.9467614428535893,4.171562975982713,0.9310432651296187,1,0,1
bearing_fault,startup,-0.23831567752932825,3.9393636022571057,4.1776792797864335,0.9310432651296187,1,0,1
bearing_fault,startup,-0.23831567752932825,4.014673990329365,4.252989667858694,0.9310432651296187,1,0,1
bearing_fault,steady_state,-0.06328529063981181,1.4103373724292134,1.4736226630690252,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.007572929935870776,1.0431437268418426,1.0507166567777135,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.009969921834906414,1.1057500505642466,1.115719972399153,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.10335229064448914,1.943591506979043,2.0469437976235323,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.10447573040058011,1.949638522835489,2.054114253236069,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.09084858331774337,1.769744432681764,1.8605930159995072,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.09080664732346677,1.7594789445569894,1.8502855918804562,0.9310432651296187,1,1,1
bearing_fault,steady_state,-0.08934512804158812,1.881963261054072,1.9713083890956602,0.9310432651296187,1,1,1
